No.,Bahnaric,Vietnamese,PoS tag
624,hŏnh hep,tóp,Adjective
625,"hơ, hắp",nó,Pronoun
626,hơbơ̆u,"nghìn, ngàn",Numeral/Quantity
627,hơbŭt,bão,Noun
628,hơ'bo,ngô,Noun
629,hơdơi,"đều, cũng",Adverb
630,hơdơi hơdơi wă,hòa thuận,Adjective
631,hơdriêng,sao,Adverb
632,hơdrĭng,cùng,Adverb
633,hơđŏng atău,cúng ma,Verb
634,hơđuh,"giật, giằng",Verb
635,hơgăi,giỏi,Adjective
636,hơh hah,khúc khích,Adjective
637,hơ'yoh,đứa bé,Noun
638,hơkuk,sổ mũi,Noun
639,hơleh,xong,Adverb
640,hơlĕch,trơn,Adjective
641,hơlŏng,họng,Noun
642,"hơlơ̆m, hơlih",sụt,Verb
643,hơ'măk,treo,Verb
644,hơmŏng 'long,"lộc, lộc cây",Noun
645,hơmôl,rậm,Adjective
646,hơmơng,sán,Noun
647,hơmưl,mây,Noun
648,hơnăt,vội,Adjective
649,hơnăt hơnăt,vội vã,Adjective
650,hơnhău,"xóc, xóc lên",Verb
651,hơnhuih,ướt,Adjective
652,hơnong,rơm,Noun
653,hơnong 'ba,mạ,Noun
654,hơnung hơnăng,ì ầm,Adjective
655,hơ-iơl,"nứa, cây nứa",Noun
656,hral,"thức, chưa ngủ",Verb
657,hrap tơnat,"khổ, cực, cực khổ",Adjective
658,hre,"Hrê, người Hrê",Noun
659,hriêng,trăm,Numeral/Quantity
660,hrul,vắng,Adjective
661,hrul hnam,vắng nhà,Adjective
662,hruôch,dẹt,Adjective
663,"hu, glang",bạc,Noun
664,huăng,rơi,Verb
665,huăt,"quất, vụt",Verb
666,huăt ka,đánh cá,Verb
667,huch,húp,Verb
668,huê,"ngoái, ngoái lại",Verb
669,huên,huyện,Noun
670,hui,"thưa, không dày",Adjective
671,hui hui,thưa thớt,Adjective
672,hum,tắm,Verb
673,huôl,giun - ở đất,Noun
674,huôt,thở,Verb
675,huôt sơhngơ̆m,hơi thở,Noun
676,hut,"hôn, ngửi, hít",Verb
677,hut mơ̆u,đánh hơi,Verb
678,hưch,mừng,Verb
679,hưch driêu,hò reo,Verb
680,hưch hanh,vui mừng,Verb
681,"hyot, dui",kéo,Verb
682,hyot kơtĕch,"rứt, rứt ra",Verb
683,hyôk,"vui, sướng, êm",Adjective
684,hyôk hiăn,"vui mừng, vui vẻ",Adjective
685,hyôk pơtơnh,hài hước,Adjective
686,hyơt,quên,Verb
687,ich,"phân, cứt",Noun
688,iêl,sạch,Adjective
689,in,"giống, giống nhau",Adjective
690,in đŭnh,"nguyên, như cũ",Adjective
